country,c1,c2,u1,u2
Austria,75.458405,-14.879783,11.576681,-1.4040486
Belgium,91.82466,-23.362364,11.234608,-1.3321365
Bulgaria,-39.782524,28.792099,12.178961,4.373532
Czechia,-64.04325,-25.327652,13.065172,3.2593079
Cyprus,-20.190018,-43.39595,13.803502,3.5001092
Germany,59.129005,-17.681034,11.521572,-0.6462721
Denmark,-5.0478053,-36.17264,14.161432,3.87623
Estonia,-31.202917,-28.76512,13.309924,3.8254385
Croatia,18.087818,53.73502,11.488489,5.9234443
Finland,-28.09929,-10.250753,13.788918,4.787869
France,-23.494417,45.923435,13.280057,5.426797
Malta,-29.793957,8.815017,13.181743,4.603874
Luxembourg,74.02684,-31.008375,11.405426,-1.0438497
Lithuania,33.4376,47.33819,11.438908,5.370913
Italy,21.102919,5.539451,12.438114,5.6213017
Ireland,-14.747878,-22.9672,13.858569,4.1688805
Hungary,-14.546669,-1.2614336,12.861066,4.308025
Spain,19.555876,32.130455,11.782828,5.728136
Netherlands,34.065483,-16.843695,12.736389,6.038576
Poland,-14.629486,18.248827,11.876244,4.5531025
Portugal,58.48439,-34.695827,11.909606,-1.0292306
Romania,5.181208,2.6376035,12.684923,5.1943536
Sweden,-44.835728,-3.3958538,13.480807,5.9131265
Slovenia,2.8513525,20.859394,12.029502,5.280354
Slovakia,-52.80296,-36.4603,12.859644,3.5464432
