,topic_id,word,importance,word_count
10,1,ktoe,0.009583712,559
20,2,fund,0.009369706,800
21,2,incentive,0.0076576374,488
22,2,work,0.007656807,471
11,1,twh,0.00738912,410
0,0,fund,0.0068709846,800
23,2,housing,0.0063773976,394
1,0,improve efficiency,0.0060243546,411
2,0,ktoe,0.0055622375,559
3,0,infrastructure,0.005377712,450
24,2,business,0.0053494815,319
12,1,high efficiency cogeneration,0.00526964,267
25,2,management,0.005186298,497
4,0,management,0.0050821947,497
13,1,coal,0.005061026,238
14,1,decrease,0.005041108,249
26,2,tax,0.004936209,386
27,2,regional,0.0049334,346
15,1,plant,0.0048817745,242
5,0,company,0.0048270696,390
28,2,etc,0.004704455,325
16,1,gwh,0.0046176068,431
29,2,region,0.00427969,267
17,1,pj,0.0040634503,233
18,1,district heating,0.0039706756,246
6,0,instrument,0.003945579,398
19,1,mtoe,0.0039318847,265
7,0,activity,0.0038323794,342
8,0,efficiency improvement,0.0036951178,291
9,0,financing,0.0036648128,272
