country,c1,c2,u1,u2
Austria,-3.801335,-4.185923,-0.6987754,5.364601
Belgium,-2.935319,-3.3335958,-2.1263385,5.534317
Bulgaria,-0.47628227,-2.4264154,-3.4390771,2.9578433
Czechia,2.8630896,-4.8695774,-2.1902256,3.9944558
Cyprus,-4.163444,-3.7768803,-0.8619134,5.787554
Germany,2.8885608,-4.925019,-1.8646913,3.8562043
Denmark,-5.065948,-3.0092134,-0.7737998,6.0623107
Estonia,-2.5724409,-5.5412393,-1.2224911,3.3483608
Croatia,-0.9315073,-6.00298,-0.7675912,4.64341
Finland,-1.0213405,-4.2504416,-2.550581,3.795025
France,-1.2185377,-0.032779485,-3.449207,4.605582
Malta,-3.5129726,-7.5815816,-1.8558394,2.3962202
Luxembourg,-2.9543076,-3.92625,-1.4417914,4.969237
Lithuania,-2.9084373,-1.6205833,-3.780958,5.0596776
Latvia,-3.3473756,-2.8402915,-1.7888024,5.9101753
Italy,-5.3806677,-4.733701,-2.0406272,4.6122923
Ireland,-1.6715704,-3.0799074,-3.8387983,3.1599646
Hungary,-2.2189434,-8.123464,-2.414576,2.5474906
Spain,-3.3233776,-6.7991548,-1.505841,2.742793
Netherlands,-2.2362838,-1.1605979,-3.3651502,5.2433276
Poland,0.42536193,-3.2495105,-2.8783262,3.1243036
Portugal,-2.0907722,-1.95912,-2.925413,4.8095183
Romania,-3.9331412,-3.345611,-1.2665474,5.6197433
Sweden,-1.4863904,-4.403865,-1.9763294,3.383256
Slovenia,0.067730844,-1.6205081,-3.4525955,3.6299465
Slovakia,-0.15296131,-6.4357634,-0.8357988,4.0940766
