country,c1,c2,u1,u2
Austria,36.46154,83.37434,-10.798788,20.746061
Belgium,127.36465,13.999943,-11.090201,19.474752
Bulgaria,-106.88627,-111.8678,-8.62772,17.111738
Czechia,-128.23105,-83.274826,-9.168574,17.020893
Cyprus,1.7656009,88.21664,-10.71105,21.489805
Germany,75.67479,-56.21918,-10.397131,21.71158
Denmark,31.086819,18.05657,-12.184224,20.160524
Estonia,-12.57118,-58.147964,-10.872984,17.709417
Croatia,-45.92878,-6.3623743,-9.466266,18.523188
Finland,4.992071,27.96382,-12.167203,20.806507
France,109.31046,72.177765,-10.9713,20.208078
Malta,45.229317,48.449203,-11.322305,20.678066
Luxembourg,-7.4915857,58.581795,-11.33216,21.309742
Lithuania,70.03422,15.495117,-11.637178,20.072739
Latvia,71.24031,64.20613,-11.754636,20.842224
Italy,125.73089,-9.563152,-11.061764,18.976904
Ireland,-10.400662,-24.498474,-10.225013,18.415266
Hungary,-124.17979,-55.000706,-9.367458,16.727856
Spain,-52.528168,-77.07344,-9.877794,17.578108
Netherlands,14.556766,-40.79545,-11.200331,18.132261
Poland,-71.849335,-18.395983,-9.042572,18.111479
Portugal,43.54979,-9.006772,-11.873374,19.6088
Romania,-101.88113,-76.77714,-8.823842,16.76111
Sweden,19.219908,52.089615,-11.911389,21.266773
Slovenia,8.2536955,-73.45782,-10.587894,18.03241
Slovakia,-63.00943,-51.98141,-9.437494,17.815172
