country,c1,c2,u1,u2
Austria,-2.2132273,8.150336,5.1832747,5.821495
Belgium,-3.8858826,11.020675,5.77103,6.643709
Bulgaria,-7.495609,-0.9980163,8.465757,3.0459013
Czechia,-1.0718774,-4.9049225,6.3871064,3.191034
Cyprus,-0.19362383,3.4209716,4.270738,3.9425323
Germany,-2.065821,5.3875484,4.931262,4.624066
Denmark,-5.4186063,0.3176299,7.4359393,2.8530107
Estonia,-3.32879,-1.4878545,6.9065547,3.222098
Croatia,0.38736272,-1.1324992,5.4583936,3.1562626
Finland,-10.8541,-1.0606662,9.457565,4.119985
France,-1.4693733,12.342289,6.0339727,6.1942306
Malta,-9.435909,-0.54888874,9.150878,3.4969373
Luxembourg,-11.919999,0.1935423,8.987309,3.9563148
Lithuania,-5.419148,-1.571699,7.5855966,3.373906
Latvia,-11.115938,1.8571346,9.496661,3.7461526
Italy,2.6550446,2.6605356,4.909861,3.916397
Ireland,-1.7178814,2.6625395,4.9931326,3.5117745
Hungary,-3.6633909,0.9668258,6.6896267,2.6044996
Spain,-1.6928207,10.464836,5.5874496,6.1975627
Netherlands,-0.86592156,8.766055,5.5944004,5.646519
Poland,-11.925288,3.9399576,9.710603,3.2668564
Portugal,-0.39322135,1.6929898,4.486057,3.328186
Romania,-8.412341,0.8704927,9.1025095,2.9386609
Sweden,0.0866783,5.347365,4.296607,4.492872
Slovenia,-1.7292317,0.42993504,4.938072,2.8768904
Slovakia,0.28000534,-3.5887363,5.949336,3.0076895
