,topic_id,word,importance,word_count
10,1,price,0.021956392,917
20,2,price,0.008753167,917
11,1,tax,0.008528499,359
12,1,natural gas,0.008372008,402
13,1,subsidy,0.007708174,316
14,1,act,0.006968099,284
15,1,household,0.006063917,242
21,2,nuclear,0.005761377,301
16,1,eur,0.0052746823,346
17,1,duty,0.0050945096,179
18,1,fossil fuel,0.0047304397,258
19,1,component,0.0046871053,247
22,2,plant,0.0046508797,248
0,0,encourage,0.004260849,222
1,0,regional,0.0042158514,232
23,2,operation,0.0041159336,231
2,0,eur,0.0036561224,346
24,2,natural gas,0.0036469006,402
25,2,eur,0.0035692367,346
3,0,mobility,0.0035177304,200
26,2,waste,0.0034805764,183
4,0,horizon,0.0033983295,188
27,2,wind,0.0033150772,198
5,0,instrument,0.003303263,195
6,0,etc,0.003245447,189
7,0,o,0.0032152378,161
8,0,participate,0.0031856939,159
9,0,long term,0.0031841837,237
28,2,fossil fuel,0.0031190435,258
29,2,condition,0.0030433955,173
